"year","month","day","precip_mm","ET_mm"
1960,1,1,0.300000011920929,6.23740533687228
1960,1,2,2.09999990463257,6.23740533687228
1960,1,3,0,6.23740533687228
1960,1,4,6.69999980926514,6.23740533687228
1960,1,5,0,6.23740533687228
1960,1,6,0.200000002980232,6.23740533687228
1960,1,7,0,6.23740533687228
1960,1,8,0,6.23740533687228
1960,1,9,23.8999996185303,6.23740533687228
1960,1,10,0.100000001490116,6.23740533687228
1960,1,11,1.79999995231628,6.23740533687228
1960,1,12,0,6.23740533687228
1960,1,13,0,6.23740533687228
1960,1,14,0.200000002980232,6.23740533687228
1960,1,15,0,6.23740533687228
1960,1,16,0,6.23740533687228
1960,1,17,0.200000002980232,6.23740533687228
1960,1,18,1.60000002384186,6.23740533687228
1960,1,19,0.100000001490116,6.23740533687228
1960,1,20,0.200000002980232,6.23740533687228
1960,1,21,0,6.23740533687228
1960,1,22,0,6.23740533687228
1960,1,23,0.100000001490116,6.23740533687228
1960,1,24,0,6.23740533687228
1960,1,25,0,6.23740533687228
1960,1,26,0.200000002980232,6.23740533687228
1960,1,27,0,6.23740533687228
1960,1,28,0.100000001490116,6.23740533687228
1960,1,29,0.100000001490116,6.23740533687228
1960,1,30,0,6.23740533687228
1960,1,31,7.69999980926514,6.23740533687228
1960,2,1,33.0999984741211,6.19743069161944
1960,2,2,0,6.15745604636659
1960,2,3,0.400000005960464,6.11748140111374
1960,2,4,0,6.0775067558609
1960,2,5,1.10000002384186,6.03753211060805
1960,2,6,2.5,5.9975574653552
1960,2,7,0,5.95758282010236
1960,2,8,0.5,5.91760817484951
1960,2,9,0,5.87763352959667
1960,2,10,0,5.83765888434382
1960,2,11,7.19999980926514,5.79768423909097
1960,2,12,0,5.75770959383813
1960,2,13,0,5.71773494858528
1960,2,14,33.0999984741211,5.67776030333243
1960,2,15,9.39999961853027,5.63778565807959
1960,2,16,0.100000001490116,5.59781101282674
1960,2,17,1,5.55783636757389
1960,2,18,0,5.51786172232105
1960,2,19,0.100000001490116,5.4778870770682
1960,2,20,0,5.43791243181536
1960,2,21,0,5.39793778656251
1960,2,22,0,5.35796314130966
1960,2,23,0,5.31798849605682
1960,2,24,1.89999997615814,5.27801385080397
1960,2,25,0.699999988079071,5.23803920555112
1960,2,26,0,5.19806456029828
1960,2,27,0,5.15808991504543
1960,2,28,0.100000001490116,5.11811526979258
1960,2,29,0,5.07814062453974
1960,3,1,0,5.04219434368084
1960,3,2,0.5,5.00624806282193
1960,3,3,0.5,4.97030178196303
1960,3,4,0,4.93435550110413
1960,3,5,0,4.89840922024522
1960,3,6,22.7999992370605,4.86246293938632
1960,3,7,48,4.82651665852742
1960,3,8,1.5,4.79057037766852
1960,3,9,0.300000011920929,4.75462409680961
1960,3,10,0.100000001490116,4.71867781595071
1960,3,11,0.200000002980232,4.68273153509181
1960,3,12,0.300000011920929,4.6467852542329
1960,3,13,0.5,4.610838973374
1960,3,14,0.100000001490116,4.5748926925151
1960,3,15,0.200000002980232,4.5389464116562
1960,3,16,0,4.50300013079729
1960,3,17,0,4.46705384993839
1960,3,18,0,4.43110756907949
1960,3,19,0,4.39516128822058
1960,3,20,1.39999997615814,4.35921500736168
1960,3,21,1.20000004768372,4.32326872650278
1960,3,22,0,4.28732244564388
1960,3,23,0,4.25137616478497
1960,3,24,0,4.21542988392607
1960,3,25,0,4.17948360306717
1960,3,26,0,4.14353732220826
1960,3,27,0,4.10759104134936
1960,3,28,0,4.07164476049046
1960,3,29,0,4.03569847963156
1960,3,30,0,3.99975219877265
1960,3,31,1,3.96380591791375
1960,4,1,0.300000011920929,3.90447948363971
1960,4,2,0.100000001490116,3.84515304936566
1960,4,3,0.200000002980232,3.78582661509162
1960,4,4,1.60000002384186,3.72650018081758
1960,4,5,0,3.66717374654354
1960,4,6,0,3.60784731226949
1960,4,7,0,3.54852087799545
1960,4,8,0,3.48919444372141
1960,4,9,1.89999997615814,3.42986800944736
1960,4,10,2,3.37054157517332
1960,4,11,0.5,3.31121514089928
1960,4,12,0,3.25188870662523
1960,4,13,0.100000001490116,3.19256227235119
1960,4,14,0.699999988079071,3.13323583807715
1960,4,15,5.09999990463257,3.07390940380311
1960,4,16,1.70000004768372,3.01458296952906
1960,4,17,6.09999990463257,2.95525653525502
1960,4,18,2.40000009536743,2.89593010098098
1960,4,19,0.5,2.83660366670693
1960,4,20,7.69999980926514,2.77727723243289
1960,4,21,8.30000019073486,2.71795079815885
1960,4,22,11.1000003814697,2.65862436388481
1960,4,23,4.19999980926514,2.59929792961076
1960,4,24,0.300000011920929,2.53997149533672
1960,4,25,2.59999990463257,2.48064506106268
1960,4,26,0.300000011920929,2.42131862678863
1960,4,27,12.8000001907349,2.36199219251459
1960,4,28,5.69999980926514,2.30266575824055
1960,4,29,3.90000009536743,2.2433393239665
1960,4,30,4,2.18401288969246
1960,5,1,0.699999988079071,2.15843706630154
1960,5,2,8.39999961853027,2.13286124291062
1960,5,3,1.39999997615814,2.1072854195197
1960,5,4,11,2.08170959612878
1960,5,5,11.1000003814697,2.05613377273786
1960,5,6,18.1000003814697,2.03055794934693
1960,5,7,8.60000038146973,2.00498212595601
1960,5,8,2.20000004768372,1.97940630256509
1960,5,9,2.5,1.95383047917417
1960,5,10,0.200000002980232,1.92825465578325
1960,5,11,0.200000002980232,1.90267883239233
1960,5,12,2.79999995231628,1.87710300900141
1960,5,13,1.89999997615814,1.85152718561048
1960,5,14,2,1.82595136221956
1960,5,15,6.5,1.80037553882864
1960,5,16,9.30000019073486,1.77479971543772
